"";"place_name";"place_with_parent_names";"geonames_id";"lat.lon";"price";"currency";"price_aprox_local_currency";"price_aprox_usd";"surface_in_m2";"price_usd_per_m2";"floor";"rooms";"expenses";"title";"extra";"surface_total_in_m2";"surface_covered_in_m2";"price_per_m2";"id";"country_name";"state_name";"year"
"1533";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.6139722,-58.4977627";99000;"USD";863250,3;99000;"58";1706,896552;"NA";"NA";"NA";"Departamento en Venta en Villa del Parque, Capital Federal";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189764.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189765.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189766.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189767.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189768.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1576/30224/189769.jpg\\],\\propertyCode\\:\\1576-0012\\,\\lastUpdate\\:\\2013-05-28T06:33:49+0000\\,\\address\\:\\\\,\\year\\:0,\\videos\\:[],\\condition\\:\\\\,\\original_url\\:\\\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1534";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.613785,-58.506188";287000;"USD";2343068;287000;"160";1793,75;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1535";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.621483,-58.515348";105000;"USD";857220;105000;"43";2441,860465;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1536";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.620384,-58.508316";125000;"USD";1050250;125000;"66";1893,939394;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1537";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.62081,-58.505509";NA;"USD";737260,8;94000;"45";2088,888889;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1538";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.615503,-58.496262";64000;"USD";515808;64000;"31";2064,516129;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1539";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.614473,-58.497283";75000;"USD";516337,5;75000;"53";1415,09434;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1540";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.617473,-58.501161";75000;"USD";661485;75000;"45";1666,666667;"2";"1";"NA";"DEPARTAMENTO EN VENTA";"{\\baulera\\:\\-\\,\\images\\:[\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_2.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_3.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_4.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_5.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_6.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_7.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_8.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_9.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/BAT/BAT1394_10.jpg\\],\\original_ad\\:{\\cochera\\:\\-\\,\\departamentos\\:\\-\\,\\expensas\\:\\$ 400.-\\},\\address\\:\\SANABRIA al 2100\\,\\year\\:0,\\videos\\:[],\\condition\\:\\Estrenar\\,\\original_url\\:\\http://www.amaira.com/ficha/BAT1394/departamento-amaira-monte-castro-capital-federal\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1541";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.62404,-58.503492";117000;"USD";936374,4;117000;"59";1983,050847;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1542";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.621483,-58.515348";105000;"USD";853755;105000;"43";2441,860465;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1543";"Ramos Mejia";"|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejia|";"3429617";"-34.6201,-58.5064373";84000;"USD";798890,4;84000;"44";1909,090909;"NA";"NA";NA;"Departamento en Venta en Ramos Mejia, La Matanza, Buenos Aires";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250852.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250853.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250854.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250855.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250856.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250857.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250858.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/737/38882/250859.jpg\\],\\propertyCode\\:\\737-6-108\\,\\lastUpdate\\:\\2013-07-05T12:10:36+0000\\,\\address\\:\\Alvarez Jonte 450 3Âº E\\,\\original_ad\\:{\\original_property_type\\:\\Departamento\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1544";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.6175787,-58.4936251";NA;"USD";780413,15;89500;"63";1420,634921;"NA";"NA";"NA";"EXCELENTE PH 2 AMB CON GRAN PATIO";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541428.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541429.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541430.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541431.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541432.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541433.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541434.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541435.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541436.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541437.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/733/71615/541438.jpg\\],\\propertyCode\\:\\733-1243\\,\\lastUpdate\\:\\2014-12-28T20:53:11+0000\\,\\address\\:\\\\,\\year\\:0,\\videos\\:[],\\condition\\:\\\\,\\original_url\\:\\\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1545";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.610994,-58.500309";85000;"USD";680272;85000;"50";1700;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1546";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.6213248919,-58.5048365593";98000;"USD";885390,8;98000;"45";2177,777778;"NA";"NA";"NA";"Departamento en Venta en Monte Castro, Capital Federal. A ESTRENAR";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/76816.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602270.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602271.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602272.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602273.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602274.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602275.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602276.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602277.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602278.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602280.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602282.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602284.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602286.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602290.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602292.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602294.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602296.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602297.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/608/13753/602299.jpg\\],\\propertyCode\\:\\608-018\\,\\lastUpdate\\:\\2015-04-15T15:20:00+0000\\,\\address\\:\\Emilio de Alvear 4819\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
